597	历
598	厉
599	压
600	厌
601	厍
602	厕
603	厘
604	厚
605	厝
606	原
607	厢
608	厣
609	厥
610	厦
611	厨
612	厩
613	厮
614	厶
615	去
616	县
617	叁
618	参
619	又
620	叉
621	及
622	友
623	双
624	反
625	发
626	叔
627	取
628	受
629	变
630	叙
631	叛
632	叟
633	叠
634	口
635	古
636	句
637	另
638	叨
639	叩
640	只
641	叫
642	召
643	叭
644	叮
645	可
646	台
647	叱
648	史
649	右
650	叵
651	叶
652	号
653	司
654	叹
655	叻
656	叼
657	叽
658	吁
659	吃
660	各
661	吆
662	合
663	吉
664	吊
665	同
666	名
667	后
668	吏
669	吐
670	向
671	吒
672	吓
673	吕
674	吖
675	吗
676	君
677	吝
678	吞
679	吟
680	吠
681	吡
682	吣
683	否
684	吧
685	吨
686	吩
687	含
688	听
689	吭
690	吮
691	启
692	吱
693	吲
694	吴
695	吵
696	吸
697	吹
698	吻
699	吼
700	吾
701	呀
702	呃
703	呆
704	呈
705	告
706	呋
707	呐
708	呒
709	呓
710	呔
711	呕
712	呖
713	呗
714	员
715	呙
716	呛
717	呜
718	呢
719	呤
720	呦
721	周
722	呱
723	呲
724	味
725	呵
726	呶
727	呷
728	呸
729	呻
730	呼
731	命
732	咀
733	咂
734	咄
735	咆
736	咋
737	和
738	咎
739	咏
740	咐
741	咒
742	咔
743	咕
744	咖
745	咙
746	咚
747	咛
748	咝
749	咣
750	咤
751	咦
752	咧
753	咨
754	咩
755	咪
756	咫
757	咬
758	咭
759	咯
760	咱
761	咲
762	咳
763	咴
764	咸
765	咻
766	咽
767	咿
768	哀
769	品
770	哂
771	哄
772	哆
773	哇
774	哈
775	哉
776	哌
777	响
778	哎
779	哏
780	哐
781	哑
782	哒
783	哓
784	哔
785	哕
786	哗
787	哙
788	哚
789	哜
790	哝
791	哞
792	哟
793	哥
794	哦
795	哧
796	哨
797	哩
798	哪
799	哭
800	哮
801	哲
802	哳
803	哺
804	哼
805	哽
806	哿
807	唁
808	唆
809	唇
810	唉
811	唏
812	唐
813	唑
814	唔
815	唛
816	唠
817	唢
818	唣
819	唤
820	唧
821	唪
822	唬
823	售
824	唯
825	唰
826	唱
827	唳
828	唷
829	唼
830	唾
831	唿
832	啁
833	啃
834	啄
835	商
836	啉
837	啊
838	啐
839	啕
840	啖
841	啜
842	啡
843	啤
844	啥
845	啦
